simTrack 0.031527 0.001693 0.146334 4.418970 -8.967553 4.920586 -1 pt=9.997215 trkIdx=0 algo=13
simHit 2.090202 -4.148274 2.426402 4.645119 0.501117 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 3.170216 -6.304021 3.613286 7.056270 0.491979 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 4.675233 -9.283705 5.255882 10.394469 0.486253 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 10.844314 -21.214334 11.771742 23.825346 0.475915 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 16.355272 -31.489918 17.496550 35.483938 0.475017 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 18.702364 -35.794647 19.938650 40.386077 0.475571 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 22.324636 -42.301975 23.578995 47.831438 0.474906 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 27.586613 -51.538174 28.868439 58.456861 0.475697 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 32.666897 -60.207668 33.803658 68.498828 0.475384 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 38.575615 -70.009193 39.425442 79.933505 0.475147 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 41.213596 -74.291527 41.897797 84.957586 0.475087 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 48.437336 -85.744881 48.550129 98.480252 0.474936 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 54.358658 -94.846390 53.883251 109.319263 0.474851 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.033403 -0.001828 3.144852 9.918984 1.304070 -5.482311 1 pt=10.004341 trkIdx=1 algo=13
simHit 4.581090 0.583884 0.632278 4.618150 0.136487 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 6.994199 0.885136 -0.700139 7.049985 -0.099148 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 10.325316 1.290290 -2.538036 10.405624 -0.241554 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 26.761873 3.096747 -11.578716 26.940447 -0.417550 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 31.887293 3.592893 -14.409966 32.089069 -0.435194 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 39.828106 4.302608 -18.763813 40.059836 -0.452766 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 47.677853 4.932110 -23.067318 47.932279 -0.464377 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 59.248940 5.733636 -29.453789 59.525721 -0.476563 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 66.655273 6.169005 -33.519554 66.940138 -0.481873 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 79.012108 6.749571 -40.301491 79.299873 -0.488549 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 85.365685 6.979077 -43.786232 85.650497 -0.491225 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 97.525841 7.289385 -50.443886 97.797877 -0.495297 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 109.111771 7.432237 -56.784893 109.364604 -0.498341 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.033403 -0.001828 3.144852 -9.918984 -1.304070 5.482311 -1 pt=10.004341 trkIdx=0 algo=4
simHit -4.574781 -0.620069 5.692395 4.616612 1.036944 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -6.987054 -0.953768 7.026112 7.051851 0.878790 0.021954 0.000040 0.000000 0.000000 0.000000 0.000000
simHit -10.315089 -1.425875 8.866682 10.413174 0.772370 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.452620 -3.418683 16.053791 23.700480 0.634022 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -31.590799 -4.756832 20.569654 31.946926 0.606077 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -43.292912 -6.818808 27.079390 43.826617 0.584092 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -47.786499 -7.655601 29.590008 48.395844 0.578590 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -57.827740 -9.609284 35.257973 58.620695 0.570076 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -69.016159 -11.933689 41.518261 70.040297 0.562621 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -78.777618 -14.085126 47.000824 80.026895 0.557915 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -86.730804 -15.923261 51.481068 88.180398 0.554897 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
