simTrack 0.001181 -0.001041 0.001408 -6.028579 7.982378 -2.452069 1 pt=10.003106 trkIdx=1 algo=4
simHit -2.489217 3.312881 -1.014684 4.143836 -0.242483 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.508249 6.023186 -1.843215 7.523502 -0.242607 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.939294 7.957744 -2.433006 9.929799 -0.242633 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -14.338002 19.543287 -5.924994 24.238779 -0.242072 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -20.868504 28.846069 -8.714214 35.603232 -0.242379 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -25.587194 35.731583 -10.751932 43.948271 -0.242273 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -29.737030 41.908722 -12.549994 51.387079 -0.241860 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -33.623127 47.800388 -14.302855 58.441353 -0.242359 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -38.813995 55.831928 -16.644524 67.998018 -0.242399 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -45.192539 65.979492 -19.578283 79.972864 -0.242430 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -47.814453 70.235786 -20.804651 84.966391 -0.242474 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -54.765587 81.796005 -24.111746 98.437066 -0.242560 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -60.232628 91.180618 -26.777407 109.278885 -0.242649 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.001181 -0.001041 0.001408 6.028579 -7.982378 2.452069 -1 pt=10.003106 trkIdx=0 algo=4
simHit 2.504861 -3.299731 1.016438 4.142771 0.242955 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 4.561518 -5.984561 1.844897 7.524787 0.242784 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 6.034045 -7.893316 2.435455 9.935499 0.242736 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 16.510300 -21.180096 6.487698 26.854915 0.239293 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 20.321854 -25.852415 7.972002 32.883508 0.240118 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 27.088863 -34.055595 10.575242 43.515401 0.240692 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 31.917212 -39.776356 12.446067 50.998695 0.241687 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 37.906746 -46.736668 14.734987 60.176719 0.242479 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 44.424435 -54.149719 17.146563 70.040863 0.242426 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 48.534222 -58.733826 18.652126 76.192079 0.242423 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 57.062195 -68.043221 21.735876 88.803006 0.242385 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 63.247215 -74.627151 23.938522 97.823422 0.242333 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 69.470879 -81.117493 26.130772 106.800050 0.242292 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack -0.000329 -0.001312 0.004689 -9.363903 3.488841 2.225102 -1 pt=9.992732 trkIdx=1 algo=4
simHit -3.944717 1.457548 0.940925 4.205382 0.221917 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -6.620071 2.434710 1.574365 7.053591 0.221388 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -9.318934 3.410380 2.212229 9.923368 0.221125 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -25.545891 9.076332 5.950107 27.110373 0.217752 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -30.714756 10.794946 7.170200 32.556521 0.218496 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -41.007648 14.125150 9.592588 43.372193 0.219405 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -49.079472 16.638321 11.518172 51.823048 0.220469 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -56.489506 18.870216 13.275738 59.557949 0.221099 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -66.615257 21.805889 15.629784 70.093433 0.221177 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -73.073669 23.608534 17.128174 76.792734 0.221235 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -84.628670 26.703974 19.803724 88.741839 0.221349 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -90.317268 28.164730 21.116692 94.606876 0.221392 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -105.254478 31.801279 24.555731 109.953747 0.221512 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack -0.000660 -0.000038 0.007823 1.660777 -9.854686 0.827611 1 pt=9.993649 trkIdx=0 algo=4
simHit 0.686397 -4.137765 0.355164 4.194311 0.084577 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 1.219464 -7.431473 0.632140 7.530862 0.083842 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 1.666665 -10.258977 0.869789 10.393478 0.083589 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 4.104823 -26.971569 2.180165 27.282139 0.079827 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 4.788393 -32.035641 2.608248 32.391526 0.080436 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 6.142683 -42.963444 3.525865 43.400346 0.081151 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 6.731988 -48.111664 3.964103 48.580365 0.081509 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 7.882615 -59.038967 4.950722 59.562868 0.083022 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 8.857640 -69.540199 5.827124 70.102048 0.083028 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 9.413923 -76.228546 6.384935 76.807638 0.083033 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 10.012809 -84.288704 7.058509 84.881340 0.083062 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 10.852077 -97.830627 8.186775 98.430682 0.083077 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 11.232353 -105.559402 8.829132 106.155326 0.083076 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack -0.000213 -0.000862 -0.001340 -9.818173 1.872682 5.966375 1 pt=9.995173 trkIdx=1 algo=4
simHit -4.063445 0.784063 2.468937 4.138398 0.565901 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -7.411236 1.446391 4.507269 7.551057 0.566170 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -10.201614 2.009166 6.207756 10.397581 0.566284 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.682508 4.860710 14.371346 24.176181 0.564053 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -31.227224 6.552654 18.978111 31.907316 0.564351 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -42.510433 9.213107 25.909180 43.497336 0.565091 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
