simTrack 0.029225 0.001571 2.869650 -0.621749 -0.781877 0.113876 1 pt=0.998951 trkIdx=0 algo=4
simHit -2.949088 -3.547214 3.399369 4.613008 0.682642 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.601875 -5.368911 3.682233 7.071242 0.499679 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -6.583783 -7.424460 4.013218 9.923145 0.394145 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -19.759943 -18.292233 5.916087 26.926959 0.217978 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -24.029158 -20.988068 6.506422 31.904536 0.202546 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -34.386673 -26.179558 7.886426 43.218197 0.181481 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -39.620945 -28.181046 8.567089 48.620887 0.175303 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -50.675304 -31.235264 9.978431 59.528381 0.166850 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -58.537994 -32.471115 10.889644 66.940796 0.161967 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -72.923309 -32.846272 12.506558 79.979289 0.155742 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -82.162781 -31.814878 13.569294 88.107372 0.153406 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -94.161186 -28.920124 14.986666 98.502297 0.151564 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -102.999649 -25.621208 15.975687 106.138466 0.149955 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.029225 0.001571 2.869650 0.621749 0.781877 -0.113876 -1 pt=0.998951 trkIdx=1 algo=4
simHit 2.795661 3.675976 2.344537 4.618282 0.488056 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 4.177203 5.677439 2.066041 7.048570 0.289072 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 5.984444 8.498360 1.679231 10.394022 0.160863 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
